#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2008 11 03 04 10 123  7.0 999 99.0 9999
2008 11 03 04 20 126  6.3 999 99.0 9999
2008 11 03 04 30 120  6.8 999 99.0 9999
2008 11 03 04 40 126  6.6 999 99.0 9999
2008 11 03 04 50 124  6.4 126  8.9 0353
2008 11 03 05 00 125  6.2 999 99.0 9999
2008 11 03 05 10 121  6.3 999 99.0 9999
2008 11 03 05 20 120  6.8 999 99.0 9999
2008 11 03 05 30 123  6.8 999 99.0 9999
2008 11 03 05 40 118  7.4 999 99.0 9999
2008 11 03 05 50 124  6.6 117  9.0 0538
2008 11 03 06 00 120  6.4 999 99.0 9999
2008 11 03 06 10 121  6.3 999 99.0 9999
2008 11 03 06 20 124  6.3 999 99.0 9999
2008 11 03 06 30 120  6.4 999 99.0 9999
2008 11 03 06 40 117  5.6 999 99.0 9999
2008 11 03 06 50 112  5.7 120  8.5 0558
2008 11 03 07 00 115  5.6 999 99.0 9999
2008 11 03 07 10 111  6.4 999 99.0 9999
2008 11 03 07 20 111  6.8 999 99.0 9999
2008 11 03 07 30 120  6.4 999 99.0 9999
2008 11 03 07 40 118  6.7 999 99.0 9999
2008 11 03 07 50 115  6.4 127  8.2 0735
2008 11 03 08 00 117  6.8 999 99.0 9999
2008 11 03 08 10 116  6.1 999 99.0 9999
2008 11 03 08 20 121  6.2 999 99.0 9999
2008 11 03 08 30 118  6.3 999 99.0 9999
2008 11 03 08 40 116  6.2 999 99.0 9999
